Points Used, Total X Movement (cm), Total Y Movement (cm), Total R Movement (cm), Original Number of Points
794,202.95501651827192,135.9413891767257,275.7063935304085,875
Time (s), X (cm), Y (cm), R (cm)
2.72,38.90267331970603,13.44053001162449,41.159031067472256
2.733,39.52282270309666,13.352954543536487,41.71756116388114
2.747,40.113446214807375,13.268462029843935,42.25092486402699
2.76,40.57407162952571,13.198263624438976,42.666725340692274
2.773,40.81730998191408,13.152699581433318,42.88410312037666
2.787,40.78069447716429,13.140011134854328,42.8453607134298
2.8,40.43492176090026,13.165397529757579,42.52423532442027
2.813,39.78730605451227,13.230438222557462,41.92939563881571
2.827,38.88002525274421,13.332906425865442,41.10258820822494
2.84,37.783563594014865,13.466961441214194,40.111802855545086
2.853,36.58649589342177,13.623687578213458,39.04070369483798
2.867,35.38328885497919,13.791943079605344,37.976240257639624
2.88,34.262030848447075,13.959483552190052,36.996674700624155
2.893,33.29391260881134,14.114318892269514,36.162115737271826
2.907,32.52589629571187,14.246240907635208,35.50900322225029
2.92,31.977409733963036,14.348417607830799,35.048991727900855
2.933,31.64120205789577,14.418895211085738,34.77168685549867
2.947,31.487824281622526,14.46179476206458,34.6500589570987
2.96,31.47266926981379,14.487957021279597,34.64721936342837
2.973,31.54420271121992,14.514797540205855,34.723422531768094
2.987,31.651975509513658,14.565198253134875,34.842395925194005
3.0,31.753213008699102,14.665385584989922,34.97627868616454
3.013,31.817167366883815,14.84191602291005,35.10861162853653
3.027,31.82690580046862,15.118081286392396,35.23504384293953
3.04,31.778688743992326,15.51021844971274,35.36172980278756
3.053,31.679478127948606,16.024523600904985,35.501756169169084
3.067,31.543344685257917,16.654984441265096,35.670311193929486
3.08,31.387590393374083,17.38294625333937,35.87962724372585
3.093,31.229283729359896,18.17860776354846,36.13488539444683
3.107,31.082670328690632,19.004434763964653,36.43214151624707
3.12,30.95763841657027,19.82012909394776,36.75884782786128
3.133,30.859158198507213,20.58846316525531,37.09679851722477
3.147,30.787434714560543,21.281053460107724,37.42658644166324
3.16,30.738446011421683,21.883057602200747,37.732217973746536
3.173,30.704582985817147,22.395872341517236,38.00455912480065
3.187,30.675234806447683,22.837184834990232,38.2427384168316
3.2,30.637325204752592,23.238151529485442,38.45331432021296
3.213,30.57594438576589,23.637980201075738,38.64767112088253
3.227,30.475291352690245,24.07668251209573,38.838512121599265
3.24,30.320115231661617,24.587152933146758,39.036360960253276
3.253,30.09772266125589,25.187934280628497,39.24671887838697
3.267,29.80043029861849,25.877999582858745,39.46817082654397
3.28,29.428136831694715,26.63460536072484,39.691528568530835
3.293,28.99052618693811,27.414789422346455,39.90014144921223
3.307,28.50834553443064,28.160474838881917,40.07166215995779
3.32,28.013261175389104,28.80650695873379,40.18155851686369
3.333,27.54598627727507,29.29040724220339,40.20832396907321
3.347,27.152668584625317,29.56227888784189,40.1397028428094
3.36,26.879868280743892,29.59321467924469,39.978565179881144
3.373,26.768774683381572,29.380760415310466,39.74665244560257
3.387,26.849533446049293,28.95044848073437,39.484502193977
3.4,27.136627141551674,28.35305824570894,39.24655965182379
3.413,27.626144399667716,27.657971263504088,39.09177955535038
3.427,28.29549564071701,26.943643844556792,39.07166514465641
3.44,29.105732669157874,26.28670104730474,39.219055651033415
3.453,30.006178783636017,25.751379073393046,39.54117207894973
3.467,30.940662880257634,25.38096918208291,40.01897320136531
3.48,31.854358048909646,25.19256130975497,40.612378310730556
3.493,32.70011322603555,25.17581614660343,41.26886385209948
3.507,33.443261251660886,25.29581491842339,41.932445379848446
3.52,34.064172624633336,25.49936890252941,42.550977321656234
3.533,34.558247030947534,25.723632965945814,43.081060001103594
3.547,34.933511865079254,25.90554948639724,43.49077770539186
3.56,35.20643449283446,25.99059825858066,43.760761276938275
3.573,35.3968666246896,25.939541247419804,43.88391467237919
3.587,35.52316402685404,25.732276997097376,43.86394033752695
3.6,35.598440039391946,25.3684701183324,43.71279228535862
3.613,35.62863686071257,24.865189978229452,43.44741001723772
3.627,35.612692736240234,24.25227539667505,43.08638701309299
3.64,35.544630922532185,23.566456855877718,42.64737595865632
3.653,35.41699125384046,22.845369175349973,42.14586767682737
3.667,35.22475037189038,22.122473870199638,41.59551524983982
3.68,34.96878749397455,21.42362077281783,41.0096040680261
3.693,34.65806524150837,20.76558325711871,40.40285799659449
3.707,34.30998361887823,20.156486097268086,39.79269917606814
3.72,33.948767328853776,19.597692446973976,39.199341223990366
3.733,33.60217661732881,19.086490398263354,38.64453893042532
3.747,33.2971989251559,18.618853233761417,38.1492483805612
3.76,33.05560573169788,18.19163881376582,37.73074069005231
3.773,32.89029881606871,17.803808287842987,37.39983082529328
3.787,32.80321490560622,17.456525419911358,37.1588641898457
3.8,32.78524035196365,17.152278955529393,37.000981855949746
3.813,32.81817484107552,16.893390737882747,36.91096382542977
3.827,32.87836162510867,16.680388757973624,36.86762851430169
3.84,32.94125935172294,16.510719950884734,36.84739395091622
3.853,32.98603851924035,16.37816300409679,36.8282902207199
3.867,32.999283721081795,16.27311088011133,36.79357095772102
3.88,32.97707140862287,16.183674709806215,36.73416074721503
3.893,32.925032681081824,16.09736643947085,36.6494608873979
3.907,32.856431150933766,16.002989559326576,36.54641901489072
3.92,32.788700148830806,15.892330183177666,36.437137869227286
3.933,32.73920563759737,15.761297417761579,36.33557598376591
3.947,32.72116427962071,15.610293853602531,36.254046201903414
3.96,32.74061571557485,15.443769923770901,36.200247884418104
3.973,32.79512928366381,15.269088644766141,36.17548303442471
3.987,32.87456155323276,15.094961518944322,36.1745029070988
4.0,32.96374520600512,14.929785131459552,36.1871107174637
4.013,33.046569985275084,14.78020096088375,36.20124484373145
4.027,33.1105980806964,14.650125847258211,36.20687631654958
4.04,33.15120533877022,14.540380055286159,36.199793750316736
4.053,33.1742894914994,14.448905154114396,36.184310735709765
4.067,33.19683151789922,14.37144685589566,36.17413589236957
4.08,33.244992638540104,14.302503375770419,36.19103671284521
4.093,33.349904008964096,14.236320218299324,36.26139697757213
4.107,33.54176996286329,14.167745449044082,36.411198048822115
4.12,33.843270798604934,14.092830446786557,36.66026252428615
4.133,34.26344722784452,14.009146657005138,37.01675304497633
4.147,34.79323576726992,13.915864183572872,37.472930645100035
4.16,35.40360021802327,13.813683414410791,38.003062480163166
4.173,36.04680445380698,13.704716616621527,38.5641202268754
4.187,36.660862822114765,13.592385161031121,39.099511470448526
4.2,37.17667262982179,13.481343430474299,39.545563702080834
4.213,37.526868652274814,13.37738311932173,39.83993285594492
4.227,37.65512120791507,13.287232992657893,39.93067384585379
4.24,37.52448132154692,13.218165250951499,39.7845018952429
4.253,37.123479796841224,13.177356129184428,39.39283522141854
4.267,36.46899634151188,13.171018484764906,38.77452026889857
4.28,35.60538183549918,13.203409926938726,37.97463955524106
4.293,34.59986828906089,13.275896735252475,37.0594160739946
4.307,33.53485126767823,13.386296323384093,36.10788250233938
4.320333333333334,33.65698065827836,13.354703386223512,36.20967342528421
4.333666666666667,33.779110048878486,13.323110449062932,36.31161725580635
4.347,33.90123943947862,13.291517511902352,36.413712709665674
4.360333333333334,34.02336883007875,13.259924574741772,36.51595851508509
4.373666666666667,34.14549822067888,13.22833163758119,36.61835341262925
4.3870000000000005,34.26762761127901,13.19673870042061,36.720896155084105
4.400333333333334,34.38975700187915,13.16514576326003,36.82358550733727
4.413666666666667,34.511886392479276,13.13355282609945,36.9264202462592
4.427,34.634015783079406,13.10195988893887,37.029399160585314
4.44,34.11223585598134,12.967518269030458,36.49385105948313
4.453,33.934714003935134,12.860071400506204,36.28975407680505
4.467,34.09841916573609,12.795282777404092,36.4200693430967
4.48,34.54221572838932,12.783278130668274,36.831737227459264
4.493,35.15759801228602,12.827663570163697,37.42466634003305
4.507,35.80781367677126,12.925705376438735,38.06932334293406
4.52,36.3519429796055,13.069496483645143,38.62998183702009
4.533,36.669562164538036,13.247761829748603,38.98922906184044
4.547,36.68150178800932,13.447871862666426,39.0688857155976
4.56,36.36294143691578,13.6576516175844,38.8432099298175
4.573,35.74652361113151,13.86667982571158,38.34186692989765
4.587,34.91504594118463,14.066936936775688,37.6422521624073
4.6,33.98524207752316,14.25283968754138,36.85295263919304
4.613,33.085812833359135,14.420848702244822,36.091992022290874
4.627,32.33390467635384,14.568919532155382,35.46455706693593
4.64,31.814457216462625,14.696068731581793,35.04474460088854
4.653,31.566218203319707,14.802248388246023,34.864490373543745
4.667,31.57688214053134,14.888588423506018,34.91088012298694
4.68,31.788014567754654,14.957913663401053,35.13142540976016
4.693,32.10853188853336,15.01531489667615,35.44598004687286
4.707,32.433885758701685,15.06848712103287,35.763336666553435
4.72,32.66706401507905,15.127566274403835,35.99972684273803
4.733,32.737261408667,15.20429934040756,36.095692304929074
4.747,32.612632122013366,15.310551015482305,36.02772191415195
4.76,32.30478964016996,15.456344190669409,35.81198136707982
4.773,31.86440963183542,15.647802765134173,35.499215942918326
4.787,31.36907651794084,15.885466777133612,35.162010982249626
4.8,30.906038353437562,16.163447511478353,34.87750338198635
4.813,30.55349809943496,16.469772145720437,34.709791711333054
4.827,30.36428856496692,16.78804815323509,34.696232949009335
4.84,30.355220604128167,17.100296787899534,34.84048748452774
4.853,30.504182889146715,17.39052028326332,35.113179426777975
4.867,30.755459605262914,17.648343069587078,35.459304965450194
4.88,31.032049961316908,17.8719600767085,35.81054428216822
4.893,31.25236087419395,18.06967123252278,36.10018114445287
4.907,31.34778351329386,18.259486713635294,36.277987626682965
4.92,31.27752290225646,18.46662478886554,36.32216499596246
4.933,31.037647618155006,18.719135288633712,36.24557346246483
4.947,30.662534241765172,19.042288528420052,36.094317537903656
4.96,30.21844704341237,19.45268812646286,35.93830292405231
4.973,29.790596011973477,19.95322427256327,35.855414788004026
4.987,29.466330223617998,20.529936389317903,35.91299075539021
5.0,29.317885070926813,21.15159357943901,36.15146326197377
5.013,29.388162147646266,21.772362456508464,36.57457916851441
5.027,29.682374573881717,22.337387081243634,37.14838114859825
5.04,30.167176712044846,22.7905522887258,37.80830364352367
5.053,30.777368031572664,23.083244768442313,38.471841286721514
5.067,31.428730401604348,23.182658343288935,39.05381853952816
5.08,32.034337532169644,23.078172321062542,39.481651672715394
5.093,32.52100966164499,22.78458144554351,39.708352031548884
5.107,32.842605423972046,22.341440091224854,39.72123709534369
5.12,32.987534807233594,21.808423725463136,39.54471896534089
5.133,32.97909366854168,21.25729677024326,39.23637706486979
5.147,32.86870714611398,20.76168470299265,38.87672132733782
5.16,32.72361945576553,20.386266567496957,38.5543140886568
5.173,32.61168437005163,20.17715066976632,38.34891610726855
5.187,32.586468599471665,20.15503741177522,38.31583835510338
5.2,32.675770415725665,20.312330332140967,38.47462456975021
5.213,32.87590727122906,20.614703095121577,38.8045263159656
5.227,33.152898905381186,21.006879594225484,39.247976968459305
5.24,33.450223591831545,21.42166899020854,39.721598163588354
5.253,33.70145543045136,21.79074495739506,40.13258855255835
5.267,33.84508204685009,22.05536779463934,40.39713885060213
5.28,33.8383604603779,22.175271605475015,40.45710456054725
5.293,33.66728176524718,22.13427198397117,40.29158544561081
5.307,33.35053476486901,21.94173204606613,39.92114445108133
5.32,32.936612215155435,21.629750798259337,39.403889957798924
5.333,32.494629836748686,21.24667688314435,38.82424818079622
5.347,32.100732525218994,20.84817057265536,38.276667107811065
5.36,31.82287577000103,20.487428433678744,37.84745891203301
5.373,31.70710661159016,20.20628222389872,37.59833042823298
5.387,31.76816076790346,20.0286747731265,37.554811299526385
5.4,31.98630698276043,19.95754537971517,37.70182292646841
5.413,32.31109086553053,19.97551705981177,37.98720672446714
5.427,32.67122302861399,20.04908848295212,38.33242443653519
5.44,32.98860966225952,20.13542150741938,38.648202632598185
5.453,33.19369249946511,20.190390284004884,38.85193793840257
5.467,33.239017090908426,20.176391784792944,38.88340317697465
5.48,33.108330110499395,20.068532094574532,38.7157268191722
5.493,32.819434903810894,19.85816670390925,38.359641450953774
5.507,32.4203147248306,19.55330951529892,37.860384570922506
