Frame,Time,X,Y
395,5.253,34.1,21.7
396,5.267,34.5,21.9
397,5.28,34.7,22.3
398,5.293,34.7,22.3
399,5.307,33.1,22
400,5.32,31.4,21.4
401,5.333,30.9,20.9
402,5.347,31.9,20.6
403,5.36,32.7,20.4
404,5.373,32.8,20.5
405,5.387,32.4,20.3
406,5.4,32.2,20.3
407,5.413,32.1,20.1
408,5.427,32,20.1
409,5.44,32.6,20
410,5.453,32.8,19.9
411,5.467,33.1,20
412,5.48,33.3,20
413,5.493,32.9,19.8
414,5.507,32.9,19.5
415,5.52,32.5,19.3
416,5.533,31.6,18.9
417,5.547,31,18.4
418,5.56,30.9,18
419,5.573,31,17.5
420,5.587,31.3,17.3
421,5.6,31.5,17.1
422,5.613,32.1,16.9
423,5.627,32.3,16.6
424,5.64,32.1,16.4
425,5.653,32.7,16.2
426,5.667,32.5,16
427,5.68,32.9,15.8
428,5.693,32.7,15.6
429,5.707,33,15.4
430,5.72,32.9,15.2
431,5.733,32.6,15.1
432,5.747,32.7,14.9
433,5.76,33.1,14.8
434,5.773,32.8,14.7
435,5.787,32.5,14.6
436,5.8,33,14.5
437,5.813,33.1,14.5
438,5.827,33.4,14.4
439,5.84,33.7,14.3
440,5.853,34.6,14.2
441,5.867,34.3,14.1
442,5.88,34.1,14
443,5.893,36.5,13.8
444,5.907,36.3,13.6
445,5.92,37.6,13.6
446,5.933,35.9,13.6
447,5.947,36.6,13.5
448,5.96,38.5,13.5
449,5.973,38.1,13.3
450,5.987,37.2,13.3
451,6,36.9,13.5
452,6.013,39,13.5
453,6.027,38.7,13.3
454,6.04,46.2,13.1
455,6.053,46.1,13
456,6.067,46,13.5
457,6.08,46.1,13.5
458,6.093,46.2,12.9
459,6.107,40.1,13.5
460,6.12,46.4,12.4
461,6.133,46.4,12.8
462,6.147,46,12.4
463,6.16,-1,-1
464,6.173,46.6,11.9
465,6.187,46.4,12
466,6.2,-1,-1
467,6.213,18.8,13.7
468,6.227,-1,-1
469,6.24,46.6,12
470,6.253,46.6,11.9
471,6.267,-1,-1
472,6.28,46.3,12.1
473,6.293,38.5,13.2
474,6.307,35.4,13.8
475,6.32,34.4,13.9
476,6.333,34.6,14.1
477,6.347,33.9,14.3
478,6.36,33.6,14.4
479,6.373,33.3,14.4
480,6.387,33,14.5
481,6.4,33,14.5
482,6.413,32.9,14.6
483,6.427,32.8,14.7
484,6.44,32.6,14.8
485,6.453,32.3,15
486,6.467,32.2,15
487,6.48,32.2,15.3
488,6.493,32.2,15.3
489,6.506,32.1,15.5
490,6.52,32.3,15.7
491,6.533,32,15.9
492,6.547,31.9,15.9
493,6.56,31.9,16.1
494,6.573,32.1,16
495,6.587,32.1,15.9
496,6.6,32.1,15.9
497,6.613,32.3,15.9
498,6.627,32.4,15.7
499,6.64,32.3,15.7
500,6.653,32.2,15.7
501,6.667,32.4,15.7
502,6.68,32.3,15.9
503,6.693,32.3,16.1
504,6.706,32.7,16.2
505,6.72,32.3,16
506,6.733,32,16.1
507,6.746,32.6,15.7
508,6.76,32.5,15.6
509,6.773,33.1,15.5
510,6.786,34.2,15.4
511,6.8,34.7,15.2
512,6.813,36.4,15
513,6.826,36.9,15.2
514,6.84,37.4,14.9
515,6.853,38,15.5
516,6.866,37.5,15.6
517,6.88,35.6,16.1
518,6.893,33.7,16.6
519,6.906,32.6,16.8
520,6.92,31.8,17.2
521,6.933,31,17.8
522,6.946,30.5,18.2
523,6.96,30.7,18.6
524,6.973,30.1,19
525,6.986,30.1,19.1
526,7,29.9,19.3
527,7.013,29.3,19.5
528,7.026,28.8,19.4
529,7.04,28.7,19.8
530,7.053,29.1,20.1
531,7.066,27.9,21
532,7.08,28.4,21.8
533,7.093,26.8,22.7
534,7.106,26.9,23.4
535,7.12,27.4,24.6
536,7.133,28.4,25.2
537,7.146,29.2,25.3
538,7.16,29.6,25
